Unique_Question_ID,Category,Question,Answer,Difficulty level,MaxMarks,Answer_2,Answer_3
114,Logistic Regression,What are the assumptions in Logistic Regression?,"1. Independence among features, 2. Linear relation with log odds,    3. Independence among observations",3,15,,
115,KNN,Is Knn algorithm supervised or unsupervised algorithm?,Supervised,1,5,,
116,KNN,Is Knn a non-parametric algorithm (yes/no)?,Yes,1,5,,
117,KNN,Why is KNN a lazy learner?,It does not build a model,1,5,It memorizes all the points.,The model remembers all the observations
118,KNN,"For which type of problems Knn is used: Regression, Classification , Both",It is used for both types of problems,1,5,It is used for regression and classification,Both can use KNN
119,KNN,"What is “K” in the KNN Algorithm? What is it used for, in classification?","K represents the number of neighbours you want to select to predict the class of a given item, which is coming as an unseen data for the model.",1,5,K is the no. of neighbours in KNN,The number of neighbors in the model
120,KNN,How do we handle categorical varibles in Knn algortihm?,By creating dummy variables,1,5,Dummification of the categorical variables,By encoding the categorical variables
121,KNN,What is the most commonly used distance metric for numeric variables for Knn?,Euclidean distance,1,5,,
122,KNN,"What is the formula for Minkowski distance between points x and y, the power represented by p? Write sum{} for summation",[sum{(x-y)^p}]^(1/p),2,10,,
123,KNN,What is the popular method used for finding optimal values of k?,Elbow method,1,5,Knee plot,Knee method
124,KNN,Why Knn is a non-parametric algorithm?,It does not make any assumption of underlying data distribution,2,10,There are no assmptions of the underlying data,The model does not have any knowledge of the underlying distribution of data
125,KNN,Is it possible to use the KNN algorithm for Image processing? (yes/no),yes,2,10,,
126,KNN,Knn algorithm is used for value impution for which type of data?,Both categorical and numerical features,2,10,Both continuous and discrete data,
127,KNN,In case of Regression how do we predict the value using Knn algorithm?,We take the mean of the values of the 'k' nearest neighbors,2,10,The output is the mean of k nearest neighbours,The prediction is the average of k nearest neighbours
128,KNN,"Specify Kmeans,Knn belongs to which type either supervised or unsupervised?","K means is an unsupervised learning algorithm, Knn is supervised learning algorithm",1,5,KNN is supervised and KMeans is unsupervised,
129,KNN,Is Knn highly sensitive to noise and outliers? (yes/no),Yes,2,10,,
130,KNN,In Knn which type of distance metric is used for categorical variables?,Hamming distance is used,2,10,Hamming,
131,KNN,Why Knn works slow on large datasets?,It has to make large number of distance computations ,2,10,A lot of distance computations need to be done with the memorised points,The model has to calculate distances with all the stored points
132,KNN,"For a given value of K, is KNN deterministic or non-deterministic?",Deterministic,2,10,,
133,KNN,If 'k' increases then what is it's effect on bias?,Bias also increases,3,15,,
134,KNN,If 'k' decreases then how does it effect the vairance?,Variance will increase,3,15,,
135,KNN,Knn algorithm does more computation on test time rather than train time? (True/False),TRUE,3,15,,
136,KNN,"What happens to the decision boundary if we increase the 'k' value""",Decision boundary would become smoother ,3,15,It becomes smoother,
137,KNN,Why can't KNeighborsClassifier be used in AdaBoost Classifier?,It does not have sample weights,3,15,There are no sample weights,
138,KNN,What is kd-tree?,k dimensional trees are constructed in the feature space to narrow down the prospective space with a fixed leaf size,3,15,k-dimensional tree which divides the feature space into hypercubes containing minimum number of observations,
139,KNN,What is ball tree?,The feature space is broken to concentric hyperspheres with a fixed leaf size,3,15,The feature space is split into hyper spheres with a minimum no. of samples in each leaf,
140,KNN,When does KNN fail?,When there are extremely large no. of features,3,15,When there are a large number of variables,When the feature space is very large
141,Kmeans,Is Kmeans supervised or unsupervised machine learning?,Unsupervised ,1,5,,
142,Kmeans,In Kmeans what does 'K' specify?,Number of clusters,1,5,Count of clusters,
143,Kmeans,Is Kmeans clustering sensitive to Outliers?,yes,1,5,,
144,Kmeans,Which method is generally used to find the optimum number of clusters,Elbow method,1,5,Knee method,Knee plot
145,Kmeans,Is feature scaling required for kmeans algorithm?,yes,1,5,,
146,Kmeans,Why Kmeans is effected by outliers?,It uses mean of the data points to find the cluster center,2,10,Outliers skew the mean,Outliers shift the mean
147,Kmeans,Does Kmeans is affected by centroid intialization?,yes,2,10,,
148,Kmeans,What is the name of most common measure used for evaluating quality of a cluster ?,Silhouette Score,2,10,,
149,Kmeans,To overcome sensitivity to centroid initialization in Kmeans which algorithm can be used?,Kmeans++,2,10,,
150,Kmeans,"For a given value of K, is KMeans deterministic or non-deterministic?",Non-deterministic,3,15,,
151,Kmeans,What is init++?,Random initialization of initial cluster centroids inversely proportional to distance,3,15,,
152,Decision Tree,Is Decision tree supervised or unsupervised?,supervised,1,5,,
153,Decision Tree,Can decision tree be used for classification and regression both? Yes or No?,yes,1,5,,
154,Decision Tree,Do we require Feature Scaling for Decision Trees? Yes or No?,No,1,5,,
155,Decision Tree,What are different attribute selection measures in decision tree?,"Information Gain, Gain ratio, and, Gini inde",2,10,,
156,Decision Tree,Why do we require Pruning in Decision Trees?,To reduce overfitting or to overcome problem of overfitting,2,10,It reduces the size of decision trees by removing parts of the tree that do not provide power to classify instances or data,"It reduces the size of a Decision Tree which might slightly increase the training error but drastically decrease the testing error, hence making it more adaptable."
157,Decision Tree,Are Decision Trees affected by the outliers?,No,1,5,,
158,Decision Tree,Is Decision tree deterministic or non-deterministic?,Non-deterministic,2,10,,
159,Decision Tree,Are Decision trees affected by multicollinearity? Yes or No?,No,1,5,,
160,Decision Tree,What is CART?,Classification And Regression Trees,2,10,It is a predictive model for building a decision tree based on Gini’s impurity index as splitting criterion,It is a binary tree build by splitting node into two child nodes repeatedly
161,Decision Tree,What is information gain in Decision tree?,It is equal to (1- Entropy),3,15,It is the reduction in entropy and is used in training decision tree,It is calculated by comparing the entropy of the dataset before and after a transformation.
162,Decision Tree,Can decision tree handle missing values? Yes or No,Yes,1,5,,
163,Decision Tree,What is pruning in decision tree?,Stopping the tree to grow after certain point,2,10,It means reduction in the size of the trees by removing sections of the tree that are non-critical and redundant to classify instances,Early stopping by oreventing the tree to grow. It is of two types - post pruning and pre pruning
164,Decision Tree,Why are decision trees called unstable?,New data can dramatically restructure the trees,3,15,Because training a tree with a slightly different sub-sample causes the structure of the tree to change drastically,It overfits by learning from noise data as well and optimises for that particular sample
165,Decision Tree,How does a decision tree handle continuous (numerical) attributes?,By binning the data,3,15,It splits the data and then looks at various splits and calculates the total weighted variance of each of these splits. It chooses the split which provides the minimum variance.,Connnverts these continuous features to a threshold-based boolean feature
166,Decision Tree,What is gini index in Decision tree?,It is calculated by subtracting the sum of squared probabilities of each class from one,3,15,"The degree of gini index varies from 0 to 1, where 0 means only one class exists. 1 signifies that all the elements are randomly distributed across various classes 0.5 denotes the elements are uniformly distributed into some classes.",one of the splitting criteria
167,Decision Tree,What is entropy in Decision Tree?,Measure of impurities or randomness in the data points,3,15,Measure of the purity of the sub split and always lies between 0 to 1,one of the splitting criteria
168,Decision Tree,Does decision tree overfit? Yes or No?,Yes,1,5,,
169,Decision Tree,Why does decision tree overfit?,It not only learns the data pattern but also the noise,2,10,"When grown to full depth, they tend to learn the pattern of data and also noise and hence tend to overfit","It not only learns data patterns, but also 
  noise"
170,Decision Tree,Is decision tree a low bias model? Yes or No?,Yes,1,5,,
171,Decision Tree,Is decision tree a high variance model? Yes or No?,Yes,1,5,,
172,Decision Tree,Why is decision tree called as Greedy algorithm?,"Because it only looks in the forward direction and once a split is made, it is not changed afterwards",3,15,It means that at each step it takes the most optimal decision,Since it only looks forward and does not change after division
173,Decision Tree,Which splitting criterion in decision tree performs better than the others?,gini index or gini impurity,2,10,,
174,Statistics,What is central limit theorem?,The sampling distribution of the sample mean approaches a normal distribution as the sample size gets larger no matter what the shape of the population distribution.,2,10,"If we have a population with mean μ and standard deviation σ and take sufficiently large random samples from the population with replacement , then the distribution of the sample means will be approximately normally distributed.",It allows to safely assume that the sampling distribution of the mean will be normal in most cases. This means that we can take advantage of statistical techniques that assume a normal distribution
175,Statistics,What is t-test?,It determines if there is a significant difference between the means of two sample groups,2,10,"The larger the t score, the more difference there is between groups. The smaller the t score, the more similarity there is between groups",It tells how significant the differences between groups are and if those differences could have happened by chance.
176,Statistics,What is Z-test?,It is used to determine whether two population means are different when the variances are known and the sample size is large,2,10,It is a hypothesis test in which the z-statistic follows a normal distribution,"Statistical test to compare two population data and is used when sample size is large (n>30 or greater than 30), or the population variance is known"
177,Statistics,What is mean squared error (mse)?,Mean or Average of the square of the difference between actual and estimated values,2,10,It is a measure of how close a fitted line is to data points,The value is always positive or greater than zero. A value close to zero will represent better quality of the estimator / predictor (regression model). An MSE of zero (0) represents the fact that the predictor is a perfect predictor
178,Statistics,What is R square?,it s a statistical measure that represents the proportion of the variance for a dependent variable that's explained by an independent variables in a regression model,2,10,It is called the coefficient of determination,It gives information about the goodness of fit of the model
179,Statistics,Can R square be negative? Yes or No?,Yes,1,5,,
180,Statistics,What is adjusted R square?,It is a modified version of R-squared that has been adjusted for the number of predictors in the model,2,10,It increases when the new term or feature improves the model more than would be expected by chance. It decreases when a predictor improves the model by less than expected,"It indicates how well terms fit a curve or line, but adjusts for the number of terms in a model"
181,Statistics,What is relationship between mean and median in normal distribution?,They are equal,1,5,Mean = median,Both are same
182,Statistics,Define Simple random sampling?,"It means taking a small, random portion of the entire population to represent the entire data set, where each member has an equal probability of being chosen",1,5,It allows all the samples/data in the population to have an equal chance of being selected,The sample achieved is representative of the population and sampling bias is eliminated
183,Statistics,Define Systematic sampling?,"It is a type of probability sampling method in which sample members from a larger population are selected according to a random starting point but with a fixed, periodic interval",1,5,We can assign a number to every population member and then choose the every nth member from that population,"Once a fixed starting point has been identified, a constant interval is selected and is fast and simpler approach"
184,Statistics,Define Stratified sampling?,Its a method of sampling that involves the division of a population into smaller sub-groups known as strata which are formed based on members' shared attributes or characteristics such as income or education.,2,10,It is also called proportional random sampling or quota random sampling,"subjects are divided into subgroups called strata based on characteristics that they share (e.g., race, gender, educational attainment, etc). Once divided, each subgroup is randomly sampled."
185,Statistics,Define clustered sampling?,"It is a method of probability sampling that is often used to study large populations, particularly those that are widely geographically dispersed",2,10,Technique where we divide the population into multiple groups (clusters) and then select random groups with a simple random or systematic random sampling,Method where multiple clusters are selected from a population where they are indicative of homogeneous characteristics and have an equal chance of being a part of the sample.
186,Statistics,Define convenience sampling?,Non-probability sampling that involves the sample being drawn from that part of the population that is close to hand,1,5,"It is the most commonly used sampling technique as its uncomplicated, and economical where members are readily approachable to be a part of the sample.",This sampling method involves getting participants wherever we can find them easily
187,Statistics,Define Judgement sampling?,"Non-probability sampling technique where the researcher selects units to be sampled based on his own existing knowledge, or his professional judgment",1,5,We carefully choose and pick the sample based on our knowledge and judgements,"It is used where the knowledge of an authority can select a more representative sample, which can in turn yield more accurate results"
188,Statistics,What is T-Distribution?,"It is a type of normal distribution used for smaller sample sizes, where the variance in the data is unknown",2,10,"Also known as the Student’s distribution, is similar to the normal distribution with its bell shape but has heavier tails","They have a greater chance for extreme values than normal distributions, hence the fatter tails"
189,Statistics,What is Law of Large Numbers?,"As a sample size grows, its mean gets closer to the average of the whole population",2,10,Average result from repeating an experiment multiple times will better approximate the true or expected underlying result,It guarantees stable long-term results for the averages of random events
190,Statistics,What is Linear Regression?,Is used to predict the value of a variable based on the value of another variable,1,5,Linear approach for modelling the relationship between response and one or more explanatory variables /features,It is the process of finding a line that best fits the data points available on the plot
191,Statistics,What is H1 in hypothesis testing?,Alternate hypothesis,1,5,It means there is significant difference between hypothesized value and estimated value,evidence against null hypothesis
192,Statistics,What is Skewness?,measure of the asymmetry of the probability distribution,1,5,A distribution whose tail on one side of the mode is fatter or longer than on the other,It tells us about the direction of outliers
193,Statistics,What is H0 in hypothesis testing?,Null hypothesis,1,5,It means there is no difference between hypothesized value and estimated value,complement of alternate hypothesis
194,Statistics,Why is hypothesis testing done?,To determine the probability of the null hypothesis being true. This will enable us to accept the alternate hypothesis if the p value is very less,3,15,A method for understanding how reliably one can extrapolate observed findings in a sample under study to the larger population,It allows professionals to test their theories and assumptions before putting them into action
195,Statistics,What is relation between variance and standard deviation?,Standard deviation is square root of variance,1,5,Variance is square of standard deviation,Variance = square of standard deviation
196,Statistics,What is univariate analysis?,Analysis carried out on only one variable to summarize or describe it,1,5,Only one variable is involved,When only one variable is there to study
197,Statistics,What is bivariate analysis?,Analysis of two variables to determine relationships between them.,1,5,Two variables are involved,"Looks at two paired data sets, studying whether a relationship exists between them"
198,Statistics,What is Multivariate Analysis?,analysis of data involving more than one type of observation,1,5,It is used to study more complex sets of data that univariate methods cannot handle,Enables to investigate relationships in the data
199,Statistics,How do you calculate residual in linear regression?,Take the predicted value and subtract it from the measured value,2,10,actual value minus predicted value,The difference between an observed value of the response variable and its value predicted from the regression line
200,Statistics,Can you plot a correlation between a categorical variable and a continuous variable? Yes or No?,No,1,5,,
201,Statistics,What's a Normal Distribution?,"Probability distribution that is symmetric about the mean, showing that data near the mean are more frequent in occurrence than data far from the mean",2,10,It is also known as the Gaussian distribution,"Its shape is like bell curve and the mean, mode, and median are all equal."
202,Statistics,Define Correlation?,The extent to which two variables are linearly related,1,5,Measure os relation between two continuous variables,Value ranges from -1 to 1. 1 means strong positive relation and -1 means strong negative relation
203,Statistics,"What is relation of mean, mode, median in case of left skewness?","Mean is less than the median, which is less than the mode",3,15,Mean < Median <Mode,Mode is largest and then comes median and mean is smallest
204,Statistics,"What is relation of mean, mode, median in case of right skewness?","Mode is less than the median, which is less than the mean",3,15,Mode< Median <Mean,Mean is largest and then comes median and mode is smallest
205,Statistics,What is Multiple Regression?,It uses several explanatory variables or features to predict the outcome of a response variable,2,10,To analyze the relationship between a single dependent variable and several independent variables,Goal is to model the linear relationship between the several explanatory (independent) variables and response (dependent) variables.
206,Statistics,What is meant by goodness of fit?,"With respect to statistical models, it describes how well model fits a set of observations.",3,15,It establishes the discrepancy between the observed values and expected values of the model in a normal distribution case.,Statistical test to check if sample data fits a distribution from a certain population
207,Statistics,What are beta values for Multiple Regression?,standardized regression coefficient,2,10,Estimated coeficients of the feature variables indicating a change on response variable caused by a unit change of respective feature variable keeping all the other variables constant/unchanged,Measure of total effect of the predictor variables
208,Statistics,What is Poisson Distribution?,Probability distribution that shows how many times an event is likely to occur over a specified period.,3,15,It is a discrete function that only takes specific values,Used to describe the distribution of rare events in a large population.
